date,store_id,sku_id,forecast,optimal_stock
2024-04-30,101,A100,63.48632588566873,70.0
2024-05-01,101,A100,63.12253082372475,69.0
2024-05-02,101,A100,63.61539649881839,70.0
2024-05-03,101,A100,63.30132398152639,70.0
2024-05-04,101,A100,63.58012645287837,70.0
2024-05-05,101,A100,62.79195184513607,69.0
2024-05-06,101,A100,63.29638758148913,70.0
2024-05-07,101,A100,64.24192030561721,71.0
2024-05-08,101,A100,64.53200337869933,71.0
2024-05-09,101,A100,63.30534428736041,70.0
2024-05-10,101,A100,64.60764948772604,71.0
2024-05-11,101,A100,62.509647124013306,69.0
2024-05-12,101,A100,64.08588784244358,70.0
2024-05-13,101,A100,63.29134003544217,70.0
